Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
minhut,fazer / f. muxoxo,mĩnhut’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mipmaun,bofetada,mípmaun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
miugkrenhot-nom,cotovelo,miugcreniot- nom,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mkut,comer,‘mcút’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mohing,trepadeira que contém amido,mo-hĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mók,"víbora, turuíra",mók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mokenam,só,mokenam,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mokenam,um,mokenam,ken pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mok-inhá,carrapato / c. grande,mok-inhá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mokinhankinhang,jabuticabeira,mokinhãkinhã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mokinhék,jabuticaba,mokinhék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mok-rong,ajuntar,mok-hoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mók-roum,arrebanhar,"mók-hoũme, V. Ajuntar",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mokuam,borrachudo (mosquito),mocũáme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
momon,"doença, doente",momon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mong, pâ",bater,"moũ, pâ (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
monhokunhung,beija-flor,monhocunhũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
moróknhũng,beija-flor,moróckniung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mót-mót,"ferver, fervura",mót-mót,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mou minhak,flecha / f. com roseta,mou minhak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpâ,agora,‘mpâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpâ um,agora / dá-me a.,‘mpâ ume,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mpât, uaingam, nu kung",deixar,"‘mpât’, waingam’, nu- kũ (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpérrék,bocejar,mpähäck,m apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mpmak,asa / pena da a.,‘mpmakê,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok,peixe,impock,o algo alongado,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mpok aran,escamar,‘mpok aráne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mpók auó, jokjen",pescar,"pók awó, jokgêne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mpók auó, jókjen",peixe / pegar p.,"umpók awó, jókgêne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpók empók,traíra,pók empók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok inthem,chiqueiro / c. de peixe,‘mpok inchême,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok jajuk,asa / a. de peixe,‘mpok jajúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mpok kat, tatu",escama,"‘mpok cate, tatú",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok nhãuit,cardume,‘mpok nhãuite,= muito peixe,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok unrang,bagre,‘mpok unrã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mpók, pók",peixe,"umpók, pók"," Aqui foram comparadas as formas <pók, ‘mpok, umpók> (CMA), <impok> (MWN), <impock, empock, immpock, ampock> (MARTIUS, 1867), <himpok> (RUDOLPH, 1909), <bók> (T. I. Vanuíre, SP), [mbk] (SILVA, 1986; SEKI, 2004) e <mpók ~ pók ~ bók ~ mok> (PESSOA, 2012). Enquanto os autores não linguistas grafam uma vogal inicial na palavra (variando a qualidade da vogal entre eles), as autores linguistas e os índios não a grafam, apontando para a inexistência dessa vogal. A posição de ataque silábico parece ser ocupada por uma consoante complexa [mb] ou [mp], pois é a forma mais recorrente entre todas, o que justifica também a percepção acústica de uma vogal epentética inciando a palavra. Não cabe aqui a discussão se se trata de uma consoante complexa fonológica ou apenas de uma processo fonológico desencadeado pela vogal oral subsequente. Sendo assim, parece razoável optar pela grafia <mpók>, já que os autores do século XIX utilizam <p> e não <b>.","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok-atá,atirar em peixe com a flecha,impock-atá,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mpok-até,peixe / atirar em um p. com uma flecha,impock-atä,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
mpok-auk,pescar,impock-awck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mpokeuthá,maitaca (pássaro),‘mpokeutchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpokijek,apoplexia,‘mpokijek (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mpok-jiping,ovas de peixe,impock-gipíng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mpok-jirum,cassari (peixe),‘mpok-girúm,= peixe senhor ou branco,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mporók,correr,emporóck,"m muito breve, apenas audível","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mporók-morung,correr grande distância,emporóck- morung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mporók-ururru,correr com grande pressa ou ímpeto,emporóck- uruhú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mporom-pong,rosnado do cachorro,mporom-pong,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mporong,"trilha, caminho",emporong,em muito breve e pouco audível e bem assim o o médio,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"mpot-má, mak innampâ","bolso do paletó, das calças","m’pot-máh, mak innanpâ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mprat, jut, e-reng",abrir,"‘mprát, jut, e- heĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mram,cobrir,m’rám’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mram,enterrar um morto,merám,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mrép,"agudo, afiado",meräp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mrép,pontiagudo,meräp,"e breve, como afiado","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mrin,corda / c. fina,m’rín,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mrin jopong,tirar / t. embira,m’rin jôpong,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mrin, kat jâk",nu,"m’rin, cát jeuk",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mrok-nham,cajá,m’rok-nhame,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mron iprong,destro,m’ron ipraũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mron iprong,hábil,m’ron iprãu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mrong,duro,mron,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mrong,"duro, rijo",meróng,e breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mrong kuang,estar / está duro,m’rong cuang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mruknhinhim,"liga, jarreteira",merúknignim,"e breve rukni nasal, gn como nh português","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mrum,"canela, tíbia",m’rúme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mrum,perna / tíbia,"m’rũ, V. Canela",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mukrak,mergulhar,mũc’rák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mukrak,mergulhar,múkarack,kara pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mukrang,pesado,muk’ráne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
müná,fraco,mnáh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung,andar,mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung,ir,mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung,voar,mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung,ir,mung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung,voar,mung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung eng amrin,ir / vá assim mesmo,mũ ẽ am’rin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mung guntá, nthun, nung ram",passear,"mũ guntá’, ntchúne, nũ háme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung jagünuk,paralisia das pernas,mũ jagynuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung jambá,ir / vá-se embora,mũ jambá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung juép,subir,mũ juép,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung krak,entrar,mũk’ rak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mung krak, mung ran",naufragar,"mũ k’rak, mũ ráne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung nuk irá,já / não vá j.,mũ nuk irá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mung rem, mung juép",trepar,"mu héme, mu juép, V. Subir",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung ton,coxo,mũ tone,= anda mal,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung-kiép,"subir, trepar",mukiäp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung-mrong,"adiante, à frente",mung-merong,"e breve, literalmente: ir com força","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung-münhang- má,"vadear, passar a vau",mung-magnan- mah,literalmente: passar através da água rasa,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung-nenhok,ir devagar,múng-negnóck,a última palavra nasal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mung-prâ,atravessar,mũ-prâ,= andar além,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mung-rem,subir / trepar,mu-héme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munhak,lua,munhák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munhak guü tonton,lua / l. nova,munhak guy tontône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munhak pakiju,lua / l. cheia,munhak pakijú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang,água,m’nhã,"Aqui foram comparadas as formas <m’nhã> (CMA), <magnán> (MWN), <minhág> (T. I. Vanuíre, SP), [m̥ɨɲɐ̃ŋ] (SILVA, 1986) e <magnan, mignann, mignangue, mugnan, mougnang> (MARTIUS, 1867). Quanto à vogal da primeira sílaba: o apóstrofo de CMA indica uma vogal curta, pouco audível para ele, provavelmente [ɨ]; os Krenak de Vanuíre, por estarem abandonando a vogal [ɨ], migraram para [i]; Silva anota a própria vogal [ɨ]; e a variação de <a> a <u> passando por <i> nas anotações de MWN e Martius, revela a dificuldade dos europeus com uma vogal totalmente estranha para eles, provavelmente [ɨ]. Por essas razões, optou-se por considerar que a forma original era [ɨ], o que justifica a grafia <ü>. Quanto à consoante nasal final: CMA anotou diversas palavras terminadas em vogal com til, que para ele era apenas uma vogal nasal, mas, na realidade, era a realização de uma coda consonantal [ŋ]; MWN anota uma consoante nasal em coda também, apesar de não ser a velar; os Krenak de Vanuíre ainda mantêm uma consoante velar em coda; Silva notou a própria nasal velar; e Martius anota sempre uma consoante nasal em coda, sendo que os casos de <ngue> e <ng> corroboram a interpretação de uma nasal velar. Sendo assim, optou-se por considerar que a forma original possuía [ŋ] em coda, o que justifica a grafia <ng>.","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang,água,magnán,"Aqui foram comparadas as formas <m’nhã> (CMA), <magnán> (MWN), <minhág> (T. I. Vanuíre, SP), [m̥ɨɲɐ̃ŋ] (SILVA, 1986) e <magnan, mignann, mignangue, mugnan, mougnang> (MARTIUS, 1867). Quanto à vogal da primeira sílaba: o apóstrofo de CMA indica uma vogal curta, pouco audível para ele, provavelmente [ɨ]; os Krenak de Vanuíre, por estarem abandonando a vogal [ɨ], migraram para [i]; Silva anota a própria vogal [ɨ]; e a variação de <a> a <u> passando por <i> nas anotações de MWN e Martius, revela a dificuldade dos europeus com uma vogal totalmente estranha para eles, provavelmente [ɨ]. Por essas razões, optou-se por considerar que a forma original era [ɨ], o que justifica a grafia <ü>. Quanto à consoante nasal final: CMA anotou diversas palavras terminadas em vogal com til, que para ele era apenas uma vogal nasal, mas, na realidade, era a realização de uma coda consonantal [ŋ]; MWN anota uma consoante nasal em coda também, apesar de não ser a velar; os Krenak de Vanuíre ainda mantêm uma consoante velar em coda; Silva notou a própria nasal velar; e Martius anota sempre uma consoante nasal em coda, sendo que os casos de <ngue> e <ng> corroboram a interpretação de uma nasal velar. Sendo assim, optou-se por considerar que a forma original possuía [ŋ] em coda, o que justifica a grafia <ng>.","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang e-mung,água / a. corrente,m’nhang emũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"münhang gróp, grók",água / a. ardente,"nhâ gróp, grók",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang imethâk (jimethâk),frio / a água está f.,m’nhan imetcheuk (gimetcheuk?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang intá jeng,mais / derrame m. água,m’nhan intá geĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang inthâk,estar / a água está fria,m’nhan im’cheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang inthu,descer / a água desce,m’nhang inchú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang jin thu,correr / c. a água,m’nhan gine chúh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang jop,beber / sede,"m’nhã jop, V. Sede",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang ju,derramar / derrame água,m’nhan jú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang kit,apanhar / apanhe água,m’nhan kíte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang kuem,afogar-se / morrer afogado,m’nhán cueme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang kuem,secar / s. a água,m’nhã cuême,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"münhang kugü, uatu nhing nhün",regato,"m’nhã cugý, uatú nhik nhýne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang kuthok,gotejar,m’nhan cuchôk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang má,vau,m’nhan’ máh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang mât,inundação,m’nhan mât,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang mron tü,corredeira,m’nhang m’ron tý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang pâ,bater / chover,m’nhã pâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang pâ,chuva,"m’nhan pâ, V. Saraiva",= água goteja,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang pâ im,estar / está chovendo,m’nhan pâ ime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"münhang prâm, jop",sede,"m’nhã prâme, jôp , V. Beber",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"münhang thâp, pâ",gota,"m’nhan cheup, pâ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang tu,remanso,m’nhã tú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang tuuó,córrego,m’nhan tuvó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang uip (ampérréta),fonte,m’nhan uípe (am’péhéta?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang uók,cachoeira,m’nhang uók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
münhang-á,"água, vai buscar a.!",magnán-ah,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-e-‘rék,mar,magnan-ä-räck,gnan como nhan português,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-ipü,chuva,magnan-ipö,primeira palavra como em francês ö palatal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-jitá,água quente,magnán-igitá,i muito breve e indistinto,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-knhin,gota,magnán-knin,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-krók,aguardente,magnán-coróck,a primeira palavra como em francês,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
münhang-nimtiak,água fria,magnán- niimtiack,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
munhek-munhek,sodomia,munhek- munhek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munkná,trôpego,mũkná,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munkrak,afogar-se,mũk’ rak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
munkrak,afundar,mũk’ rak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mutung,anzol,mutung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ná,áspero,náh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ná pâuêt,marcar,na pâuêt,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak,terra,nák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak,"barro, argila","naak, nnaak",primeiro n apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nak,"terra, chão",naak,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"nak atu, nak-má",buraco,"nak atú, nak- mah",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nak mrâm, (pakapé)",enterrar,"nak mrâme, (pacapé?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak nak pan,cancã (ave),nak nak pane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak nek mrang,panela,nak nek m’rang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak nhót,barro,nak nhót,= terra mole,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak nhót,lama,nák nhót,= terra molhada,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nak nhung, (krinhót)",pântano,"nak nhũ, (crinhót?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nak, nhak",gema do ovo,"nnáck, nniáck",textualmente: o amarelo,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nakam,cama,nacamm,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak-atârrâk,raiz / enraizar na terra,naak-atähäck,ambos ä apenas audíveis e palatais,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
nak-athá,capinar,nak-átchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak-atong,covar,"nak-atóũ, V. Cavar",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nakatu, nak umantu",cavar,"nakatú, nak umantú",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nak-auit,cavar o chão,naak-awit,como ailwit,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
